product_id,Name,Description,Size,Category
34,Allen Solly Women Red Shorts,A Red Shorts perfect for Summer.,S,Clothing
35,Arrow Woman Blue Shirt,A Blue Shirt perfect for Summer.,S,Clothing
36,Wrangler Women Pink T-shirt,A Pink T-shirt perfect for Summer.,S,Clothing
37,Nike Women's Smash Pink T-shirt,A Pink T-shirt perfect for Summer.,S,Clothing
38,Jockey Women Grey Melange Shorts,A Grey Melange Shorts perfect for Winter.,S,Clothing
39,ADIDAS Women's Black T-shirt,A Black T-shirt perfect for Fall.,S,Clothing
40,ONLY Women Brown Shorts,A Brown Shorts perfect for Summer.,S,Clothing
41,Colorbar Soft Touch Show Stopper Copper Lipstick 037,A Brown Lipstick suitable for Spring.,N/A,Cosmetics
42,Police Women Passion Perfume,A Pink Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
43,Streetwear Ash Nail Polish # 31,A Bronze Nail Polish suitable for Spring.,N/A,Cosmetics
44,DKNY Women Red Delicious Perfume,A Red Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
45,Giorgio Armani Women Idole Perfume,A Gold Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
46,Nike Fragrances Women 5th Element Perfume 150 ml,A White Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
47,Colorbar Soft Touch Mousse Lipstick 025,A Brown Lipstick suitable for Spring.,N/A,Cosmetics
48,Revlon Gold Dust Poussiere Doree Colorburst Lip Gloss 024,A Brown Lip Gloss suitable for Spring.,N/A,Cosmetics
49,Revlon Super Lusterous Lipstick 304,A Red Lipstick suitable for Spring.,N/A,Cosmetics
50,Formula 1 Go Men Perfume,A Green Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
51,Lakme Absolute Lip Last Day Kiss Lip Colour,A Pink Lipstick suitable for Spring.,N/A,Cosmetics
52,Nike Fragrances Women Trendy Perfume 75ml,A Pink Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
53,J.Del Pozo Halloween Kiss Sexy Women Perfume,A Pink Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
54,Bvlgari Women Omnia Perfume,A Purple Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
55,ADIDAS Men Intense Touch Perfume,A Black Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
56,Lakme Absolute Matte Merlot Lipstick 45,A Brown Lipstick suitable for Spring.,N/A,Cosmetics
57,Reebok Reebounce Women Perfumes,A White Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
58,Lotus Herbals Pure Colours Nutty Brown Lipstick 666,A Brown Lipstick suitable for Spring.,N/A,Cosmetics
59,Nike Fragrances Women Sensual Touch Perfume and Deo Set,A White Fragrance Gift Set suitable for Spring.,N/A,Cosmetics
60,Lakme Sheer Satin Lip Gloss 51,A Copper Lip Gloss suitable for Spring.,N/A,Cosmetics
61,4711 Kolnisch Wasser Men Perfume,A Blue Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
62,Revlon Super Lustrous Plum Baby Lipstick 313,A Purple Lipstick suitable for Spring.,N/A,Cosmetics
63,Colour Me Women Pink Perfume,A Pink Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
64,Revlon ColorBurst Hot Pink Lip Gloss 10,A Pink Lip Gloss suitable for Spring.,N/A,Cosmetics
65,Colorbar Soft Touch Venus Lipstick 034,A Mauve Lipstick suitable for Spring.,N/A,Cosmetics
66,Lotus Herbals Moistpetals Rudy Pink Lipstick 140,A Pink Lipstick suitable for Spring.,N/A,Cosmetics
67,Nike Fragrances Women Spicy Love Perfume 150 ml,A White Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
68,Formula 1 Men Power Perfume,A Black Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
69,Colorbar Soft Touch Spring Fling Lipstick 023,A Maroon Lipstick suitable for Spring.,N/A,Cosmetics
70,Ed Hardy Life Love & Luck by Christian Audigier for Women Perfume,A White Perfume and Body Mist suitable for Spring.,N/A,Cosmetics
71,Sony PlayStation 5 Slim (1 TB) Console - Disc Edition,"Slim Design - With PS5 players get powerful gaming technology packed inside a sleek and compact console design. 1TB of Storage - Keep your favorite games ready and waiting for you to jump in and play with 1TB of SSD storage built in. Box Contents - DualSense Wireless Controller, Horizontal Stand Feet, HDMI Cable, AC Power Cord, USB cable, printed materials, ASTRO’s PLAYROOM (Pre-installed game), PS5 console (CFI-2000 model group – slim). Vertical Stand sold separately",,Electronics
72,Apple AirPods Pro 2,"Active Noise Cancellation blocks outside noise, so you can immerse yourself in music. Transparency mode for hearing and interacting with the world around you. Spatial audio with dynamic head tracking places sound all around you. Adaptive EQ automatically tunes music to your ears. Three sizes of soft, tapered silicone tips for a customizable fit. More than 24 hours of listening time with the charging case.",,Electronics
73,OnePlus 9 Pro 5G (12GB RAM + 256GB),"13.56 cm (6.7"") 120 Hz Fluid AMOLED, Snapdragon 888, 48 MP Quad Camera, Dual Stereo Speakers, 4500 mAh Battery",N/A,Electronics
74,LG 32UN650-W 32-Inch UHD (4K) IPS Monitor,"32-Inch UHD (4K) IPS Display for detailed and accurate visuals, with HDR10 support for vibrant color. 3840x2160 Resolution, sRGB 95%, and Color Calibration for professional-grade color accuracy. Includes DisplayPort and HDMI inputs. Sleek and modern stand design for enhanced aesthetics",N/A,Electronics
75,SteelSeries Arctis 7 Wireless Gaming Headset,"The SteelSeries Arctis 7 offers a wireless gaming experience with 2.4 GHz connectivity, ensuring lag-free sound. Its long-lasting battery provides up to 24 hours of continuous play, while the comfortable ear cushions and adjustable headband ensure a perfect fit for long gaming sessions",N/A,Electronics
76,ASUS TUF Gaming GeForce RTX 3060 Ti Graphics Card,"Powerful GeForce RTX 3060 Ti GPU with Ampere architecture for exceptional performance in high-end gaming. 8GB GDDR6 VRAM for smooth, high-resolution gameplay. Supports real-time ray tracing and AI-based graphical enhancements. Ideal for 1080p and 1440p gaming. Comes with TUF protective design for durability",N/A,Electronics
